# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1927,1927-10-20,Clemson (SC),20,South Carolina,0
1927,1927-10-21,Abilene Christian (TX),33,North Texas,0
1927,1927-10-21,Arkansas Tech,0,Ouachita Baptist (AR),20
1927,1927-10-21,Central Missouri St.,13,Truman St. (MO),19
1927,1927-10-21,Kalamazoo (MI),6,Hillsdale (MI),12
1927,1927-10-21,Northwest Missouri St.,0,Southeast Missouri St.,6
1927,1927-10-21,Presbyterian (SC),7,Wofford (SC),7
1927,1927-10-21,Southern Illinois,0,Arkansas St.,14
1927,1927-10-22,Auburn (AL),3,Georgia,33
1927,1927-10-22,Baylor (TX),6,Centenary (LA),9
1927,1927-10-22,Birmingham-Southern (AL),8,Tennessee-Chattanooga,12
1927,1927-10-22,Bluffton (OH),0,Toledo (OH),6
1927,1927-10-22,California-Davis,24,Pacific (CA),10
1927,1927-10-22,Central Michigan,18,Western Michigan,12
1927,1927-10-22,Chicago (IL),13,Pennsylvania,7
1927,1927-10-22,Colorado School of Mines,0,Denver (CO),39
1927,1927-10-22,Colorado,13,Utah,20
1927,1927-10-22,Concord (WV),7,William & Mary (VA),13
1927,1927-10-22,Cornell (NY),10,Princeton (NJ),21
1927,1927-10-22,Creighton (NE),14,Marquette (WI),0
1927,1927-10-22,Dartmouth (NH),30,Harvard (MA),6
1927,1927-10-22,Davidson (NC),13,Wake Forest (NC),13
1927,1927-10-22,DePauw (IN),6,Butler (IN),25
1927,1927-10-22,Duke (NC),6,Navy (MD),32
1927,1927-10-22,East Tennessee St.,0,Eastern Kentucky,32
1927,1927-10-22,Edinboro (PA),0,West Liberty St. (WV),1
1927,1927-10-22,Eureka (IL),2,Illinois St.,25
1927,1927-10-22,Fairmont St. (WV),0,Davis & Elkins (WV),27
1927,1927-10-22,Florida,6,North Carolina St.,12
1927,1927-10-22,Fordham (NY),0,George Washington (DC),13
1927,1927-10-22,Georgetown (DC),25,West Virginia,0
1927,1927-10-22,Georgia Tech,13,North Carolina,0
1927,1927-10-22,Glenville St. (WV),0,Broaddus College (WV),0
1927,1927-10-22,Illinois,7,Northwestern (IL),6
1927,1927-10-22,Indiana,6,Notre Dame (IN),19
1927,1927-10-22,Indianapolis (IN),13,Ball St. (IN),13
1927,1927-10-22,Iowa,0,Minnesota,38
1927,1927-10-22,Kansas St.,20,Oklahoma,14
1927,1927-10-22,Kent St. (OH),19,Cedarville (OH),18
1927,1927-10-22,Lake Forest (IL),12,Lawrence (WI),0
1927,1927-10-22,Lehigh (PA),0,Villanova (PA),54
1927,1927-10-22,Louisiana College,13,Northwestern St. (LA),12
1927,1927-10-22,Louisiana St.,9,Mississippi St.,7
1927,1927-10-22,Louisville (KY),6,Marshall (WV),37
1927,1927-10-22,Mercer (GA),0,Samford (AL),14
1927,1927-10-22,Michigan,21,Ohio St.,0
1927,1927-10-22,Missouri S&T,0,Arkansas,34
1927,1927-10-22,Missouri,9,Southern Methodist (TX),32
1927,1927-10-22,Montana,6,Idaho,42
1927,1927-10-22,Morehouse (GA),7,Alabama St.,13
1927,1927-10-22,Nevada,0,Saint Mary's (CA),38
1927,1927-10-22,New Hampshire,6,Connecticut,9
1927,1927-10-22,New Mexico,6,Texas-El Paso,6
1927,1927-10-22,Newberry (SC),0,Citadel (SC),26
1927,1927-10-22,North Carolina A&T,28,North Carolina Central,13
1927,1927-10-22,North Central (IL),26,Wheaton (IL),6
1927,1927-10-22,Northern Arizona,19,Arizona St.,0
1927,1927-10-22,Northern Colorado,21,Brigham Young (UT),7
1927,1927-10-22,Oklahoma St.,26,Tulsa (OK),28
1927,1927-10-22,Oregon St.,6,Stanford (CA),20
1927,1927-10-22,Penn St.,9,Syracuse (NY),6
1927,1927-10-22,Pittsburg St. (KS),6,Wichita St. (KS),0
1927,1927-10-22,Purdue (IN),6,Wisconsin,12
1927,1927-10-22,Rice (TX),0,Texas,27
1927,1927-10-22,Rutgers (NJ),6,New York (NY),60
1927,1927-10-22,Sewanee (TN),0,Alabama,24
1927,1927-10-22,Texas A&M,0,Texas Christian,0
1927,1927-10-22,Tulane (LA),0,Vanderbilt (TN),32
1927,1927-10-22,Tuskegee (AL),33,Florida A&M,13
1927,1927-10-22,Utah St.,42,Wyoming,0
1927,1927-10-22,Valparaiso (IN),0,Eastern Michigan,44
1927,1927-10-22,Virginia Military Institute,6,Maryland,10
1927,1927-10-22,Virginia,7,Virginia Tech,0
1927,1927-10-22,Wabash (IN),7,Colgate (NY),0
1927,1927-10-22,Washington,14,Washington St.,0
1927,1927-10-22,Worcester Tech (MA),7,Massachusetts,0
1927,1927-10-22,Yale (CT),10,Army (NY),6
1927,1927-10-27,Citadel (SC),0,South Carolina,6
1927,1927-10-28,Arkansas Tech,0,Oklahoma Baptist University,0
1927,1927-10-28,Central Missouri St.,19,Southeast Missouri St.,6
1927,1927-10-28,Emporia St. (KS),16,Truman St. (MO),13
1927,1927-10-28,Hendrix (AR),26,Central Arkansas,13
1927,1927-10-28,Jacksonville St. (AL),26,Troy (AL),12
1927,1927-10-28,Northwest Missouri St.,6,Missouri St.,15
1927,1927-10-28,Southern Arkansas,14,Arkansas St.,0
1927,1927-10-29,Alabama,13,Mississippi St.,7
1927,1927-10-29,Albion (MI),6,Kalamazoo (MI),0
1927,1927-10-29,Allegheny (PA),0,Pittsburgh (PA),52
1927,1927-10-29,Alma (MI),6,Hillsdale (MI),3
1927,1927-10-29,Amherst (MA),20,Massachusetts,0
1927,1927-10-29,Arizona,33,New Mexico St.,6
1927,1927-10-29,Arkansas,28,Louisiana St.,0
1927,1927-10-29,Augsburg (MN),21,Saint John's (MN),6
1927,1927-10-29,Baylor (TX),0,Texas Christian,14
1927,1927-10-29,Beloit (WI),6,Lawrence (WI),19
1927,1927-10-29,Birmingham-Southern (AL),7,Centenary (LA),20
1927,1927-10-29,Brigham Young (UT),0,Utah St.,22
1927,1927-10-29,Brown (RI),0,Temple (PA),7
1927,1927-10-29,Bucknell (PA),0,Army (NY),34
1927,1927-10-29,California (PA),32,Lock Haven (PA),0
1927,1927-10-29,California,0,Southern California,13
1927,1927-10-29,Carthage (WI),27,Eureka (IL),0
1927,1927-10-29,Central Michigan,0,Eastern Michigan,6
1927,1927-10-29,Central Oklahoma,14,Oklahoma,14
1927,1927-10-29,Central Washington,25,Eastern Washington,7
1927,1927-10-29,Chicago (IL),7,Ohio St.,13
1927,1927-10-29,Clarion (PA),0,Indiana (PA),51
1927,1927-10-29,Clark Atlanta (GA),38,Morehouse (GA),0
1927,1927-10-29,Colgate (NY),0,New York (NY),0
1927,1927-10-29,Colorado School of Mines,18,Colorado,28
1927,1927-10-29,Colorado St.,12,Utah,0
1927,1927-10-29,Columbia (NY),0,Cornell (NY),0
1927,1927-10-29,Dartmouth (NH),0,Yale (CT),19
1927,1927-10-29,Davidson (NC),0,Virginia Military Institute,20
1927,1927-10-29,Drake (IA),6,Kansas,7
1927,1927-10-29,Duke (NC),32,Wake Forest (NC),6
1927,1927-10-29,East Stroudsburg (PA),52,Cooper Union (NY),2
1927,1927-10-29,Fairmont St. (WV),0,Broaddus College (WV),6
1927,1927-10-29,Findlay (OH),0,Bowling Green (OH),6
1927,1927-10-29,Fordham (NY),7,Boston College (MA),27
1927,1927-10-29,Franklin & Marshall (PA),0,Swarthmore (PA),0
1927,1927-10-29,Fresno St. (CA),6,San Francisco (CA),6
1927,1927-10-29,Furman (SC),19,Oglethorpe (GA),0
1927,1927-10-29,Georgia Tech,7,Notre Dame (IN),26
1927,1927-10-29,Georgia,31,Tulane (LA),0
1927,1927-10-29,Gonzaga (WA),0,Saint Mary's (CA),12
1927,1927-10-29,Hamilton (NY),13,Middlebury (VT),12
1927,1927-10-29,Harvard (MA),26,Indiana,6
1927,1927-10-29,Holy Cross (MA),39,Rutgers (NJ),0
1927,1927-10-29,Idaho,3,Saint Mary's (CA),3
1927,1927-10-29,Illinois,14,Michigan,0
1927,1927-10-29,Iowa St.,12,Kansas St.,7
1927,1927-10-29,Iowa,15,Denver (CO),0
1927,1927-10-29,Johns Hopkins (MD),36,Delaware,0
1927,1927-10-29,Kentucky Wesleyan,19,Western Kentucky,0
1927,1927-10-29,Kentucky,6,Vanderbilt (TN),34
1927,1927-10-29,Lafayette (PA),6,Penn St.,40
1927,1927-10-29,Lake Forest (IL),0,North Central (IL),0
1927,1927-10-29,Lincoln (PA),0,Tuskegee (AL),29
1927,1927-10-29,Louisiana College,19,Louisiana-Lafayette,6
1927,1927-10-29,Marshall (WV),0,Canisius (NY),19
1927,1927-10-29,McKendree (IL),18,Western Illinois,0
1927,1927-10-29,Memphis (TN),20,Lambuth (TN),7
1927,1927-10-29,Mercer (GA),6,Florida,32
1927,1927-10-29,Michigan St.,7,Detroit (MI),24
1927,1927-10-29,Minnesota,13,Wisconsin,7
1927,1927-10-29,Mississippi College,7,Louisiana Tech,0
1927,1927-10-29,Missouri,34,Northwestern (IL),19
1927,1927-10-29,Montana St.,7,Purdue (IN),39
1927,1927-10-29,Mount Union (OH),14,Akron (OH),13
1927,1927-10-29,Nebraska,21,Syracuse (NY),0
1927,1927-10-29,Nevada,7,Santa Clara (CA),7
1927,1927-10-29,North Carolina,6,North Carolina St.,19
1927,1927-10-29,North Dakota,13,North Dakota St.,0
1927,1927-10-29,North Texas,0,Texas St.,38
1927,1927-10-29,Northern Arizona,0,Loyola Marymount (CA),0
1927,1927-10-29,Oklahoma St.,18,Creighton (NE),6
1927,1927-10-29,Oregon St.,13,Washington St.,6
1927,1927-10-29,Oregon,0,Stanford (CA),19
1927,1927-10-29,Pennsylvania,6,Navy (MD),12
1927,1927-10-29,Princeton (NJ),35,William & Mary (VA),7
1927,1927-10-29,Rensselaer Tech (NY),0,Manhattan (NY),45
1927,1927-10-29,Samford (AL),9,Auburn (AL),9
1927,1927-10-29,Sewanee (TN),14,Mississippi,28
1927,1927-10-29,Shenandoah (VA),0,Shepherd (WV),26
1927,1927-10-29,South Dakota,16,South Dakota St.,12
1927,1927-10-29,Southern Methodist (TX),14,Texas,0
1927,1927-10-29,Southwestern (TX),14,Rice (TX),12
1927,1927-10-29,Stetson (FL),6,Florida Southern,6
1927,1927-10-29,Tennessee,42,Virginia,0
1927,1927-10-29,Tennessee-Chattanooga,14,Virginia Tech,13
1927,1927-10-29,Texas A&M,47,Texas Tech,6
1927,1927-10-29,Wabash (IN),40,Indiana St.,0
1927,1927-10-29,Wheaton (IL),0,Valparaiso (IN),19
1927,1927-10-29,Wofford (SC),0,Clemson (SC),6
1927,1927-10-29,Worcester Tech (MA),14,Rhode Island,20
1927,1927-11-04,Arkansas Tech,12,East Central (OK),6
1927,1927-11-04,Gonzaga (WA),19,Loyola Marymount (CA),7
1927,1927-11-04,Hendrix (AR),7,Henderson St. (AR),8
1927,1927-11-04,McMurry (TX),15,North Texas,0
1927,1927-11-04,Truman St. (MO),6,Missouri St.,0
1927,1927-11-05,Adrian (MI),0,Eastern Michigan,20
1927,1927-11-05,Alabama,21,Kentucky,6
1927,1927-11-05,Arizona,6,New Mexico,7
1927,1927-11-05,Arkansas St.,9,Memphis (TN),6
1927,1927-11-05,Arkansas,10,Texas Christian,3
1927,1927-11-05,Auburn (AL),6,Tulane (LA),6
1927,1927-11-05,Ball St. (IN),43,Cedarville (OH),0
1927,1927-11-05,Baylor (TX),12,Texas,13
1927,1927-11-05,Beloit (WI),0,Lake Forest (IL),0
1927,1927-11-05,Bloomsburg (PA),12,Lock Haven (PA),6
1927,1927-11-05,Bluffton (OH),25,Findlay (OH),0
1927,1927-11-05,Brown (RI),7,Dartmouth (NH),19
1927,1927-11-05,Bucknell (PA),20,Lehigh (PA),6
1927,1927-11-05,California-Davis,2,San Francisco (CA),7
1927,1927-11-05,Carson-Newman (TN),15,East Tennessee St.,0
1927,1927-11-05,Chicago (IL),0,Michigan,14
1927,1927-11-05,Citadel (SC),0,Clemson (SC),13
1927,1927-11-05,Clarion (PA),0,Edinboro (PA),26
1927,1927-11-05,Coast Guard (CT),6,Rhode Island,14
1927,1927-11-05,Colorado School of Mines,37,Northern Colorado,12
1927,1927-11-05,Colorado St.,6,Utah St.,0
1927,1927-11-05,Cornell (NY),6,Saint Bonaventure (NY),6
1927,1927-11-05,Davidson (NC),6,North Carolina St.,25
1927,1927-11-05,Delaware,0,Swarthmore (PA),7
1927,1927-11-05,Delta St. (MS),7,Lambuth (TN),15
1927,1927-11-05,Drake (IA),0,Iowa St.,7
1927,1927-11-05,Duquesne (PA),12,Saint Francis (PA),0
1927,1927-11-05,Eastern Illinois,6,Indiana St.,7
1927,1927-11-05,Edinboro (PA),6,Kent St. (OH),0
1927,1927-11-05,Fairmont St. (WV),6,West Liberty St. (WV),6
1927,1927-11-05,Florida,0,Georgia,28
1927,1927-11-05,Fordham (NY),2,Holy Cross (MA),7
1927,1927-11-05,Franklin & Marshall (PA),0,Army (NY),45
1927,1927-11-05,Fresno St. (CA),10,San Jose St. (CA),7
1927,1927-11-05,Furman (SC),53,Wake Forest (NC),0
1927,1927-11-05,Georgetown (DC),27,Lafayette (PA),2
1927,1927-11-05,Hanover (IN),6,Indianapolis (IN),7
1927,1927-11-05,Harvard (MA),0,Pennsylvania,24
1927,1927-11-05,Illinois,14,Iowa,0
1927,1927-11-05,Indiana,33,Michigan St.,7
1927,1927-11-05,Johns Hopkins (MD),7,Columbia (NY),7
1927,1927-11-05,Kansas,13,Nebraska,47
1927,1927-11-05,Louisiana St.,7,Mississippi,12
1927,1927-11-05,Louisiana Tech,13,Louisiana-Lafayette,0
1927,1927-11-05,Louisville (KY),6,Western Kentucky,7
1927,1927-11-05,Marshall (WV),65,West Virginia Tech,0
1927,1927-11-05,Minnesota,7,Notre Dame (IN),7
1927,1927-11-05,Mississippi College,12,Samford (AL),0
1927,1927-11-05,Missouri,13,West Virginia,0
1927,1927-11-05,Montana,13,California,33
1927,1927-11-05,Murray St. (KY),14,Middle Tennessee St.,7
1927,1927-11-05,Nevada,19,Pacific (CA),13
1927,1927-11-05,New Mexico Highlands,0,Oklahoma Panhandle St.,0
1927,1927-11-05,Northern Iowa,20,Northern Illinois,6
1927,1927-11-05,Northern Michigan,0,Central Michigan,6
1927,1927-11-05,Northwestern (IL),6,Purdue (IN),18
1927,1927-11-05,Northwestern St. (LA),26,Stephen F. Austin (TX),0
1927,1927-11-05,Penn St.,13,George Washington (DC),0
1927,1927-11-05,Presbyterian (SC),6,Oglethorpe (GA),12
1927,1927-11-05,Princeton (NJ),20,Ohio St.,0
1927,1927-11-05,Rensselaer Tech (NY),6,Worcester Tech (MA),13
1927,1927-11-05,Rice (TX),7,Centenary (LA),33
1927,1927-11-05,Savannah St. (GA),0,South Carolina St.,45
1927,1927-11-05,Sewanee (TN),12,Tennessee,32
1927,1927-11-05,Shepherd (WV),6,Broaddus College (WV),18
1927,1927-11-05,South Carolina,0,Virginia Tech,35
1927,1927-11-05,Southeast Missouri St.,6,Southern Illinois,6
1927,1927-11-05,Southern Methodist (TX),13,Texas A&M,39
1927,1927-11-05,Stanford (CA),13,Washington,7
1927,1927-11-05,Tennessee-Chattanooga,12,William & Mary (VA),7
1927,1927-11-05,Utah,7,Creighton (NE),16
1927,1927-11-05,Villanova (PA),13,Boston College (MA),7
1927,1927-11-05,Virginia Military Institute,7,North Carolina,0
1927,1927-11-05,Wisconsin-Oshkosh,6,Western Michigan,19
1927,1927-11-05,Wofford (SC),32,Florida Southern,0
1927,1927-11-05,Yale (CT),30,Maryland,6
1927,1927-11-06,Georgia Tech,0,Vanderbilt (TN),0
1927,1927-11-08,Brooklyn Centre City College (NY),6,Cooper Union (NY),6
1927,1927-11-10,Benedict (SC),0,South Carolina St.,22
1927,1927-11-11,Abilene Christian (TX),6,Texas Tech,3
1927,1927-11-11,Alma (MI),13,Central Michigan,14
1927,1927-11-11,Arkansas Tech,12,Central Arkansas,0
1927,1927-11-11,Arkansas-Monticello,0,Arkansas St.,19
1927,1927-11-11,Birmingham-Southern (AL),19,Mississippi College,33
1927,1927-11-11,California-Davis,13,Fresno St. (CA),7
1927,1927-11-11,Carthage (WI),0,McKendree (IL),7
1927,1927-11-11,Central Missouri St.,19,Northwest Missouri St.,6
1927,1927-11-11,Chadron St. (NE),28,Northern Colorado,0
1927,1927-11-11,Clark Atlanta (GA),6,Alabama St.,6
1927,1927-11-11,Emporia St. (KS),12,Pittsburg St. (KS),0
1927,1927-11-11,Findlay (OH),0,Toledo (OH),34
1927,1927-11-11,Hendrix (AR),7,Ouachita Baptist (AR),13
1927,1927-11-11,Idaho,7,Washington St.,7
1927,1927-11-11,Iowa St.,6,Missouri,13
1927,1927-11-11,Kansas St.,7,Texas,41
1927,1927-11-11,Mercer (GA),21,Oglethorpe (GA),6
1927,1927-11-11,Missouri St.,6,Southeast Missouri St.,0
1927,1927-11-11,Montana St.,6,Wyoming,0
1927,1927-11-11,Newberry (SC),0,Presbyterian (SC),12
1927,1927-11-11,North Dakota St.,0,South Dakota,13
1927,1927-11-11,Northern Arizona,7,New Mexico,24
1927,1927-11-11,Oklahoma Baptist University,7,Tulsa (OK),21
1927,1927-11-11,Pacific (CA),20,San Francisco (CA),6
1927,1927-11-11,Rice (TX),0,Texas A&M,14
1927,1927-11-11,Sam Houston St. (TX),6,Texas St.,6
1927,1927-11-11,South Dakota St.,0,Creighton (NE),14
1927,1927-11-11,Southern Arkansas,26,Northwestern St. (LA),0
1927,1927-11-11,Stetson (FL),19,Louisiana Tech,7
1927,1927-11-11,Texas Christian,3,Centenary (LA),7
1927,1927-11-11,Utah St.,0,Denver (CO),13
1927,1927-11-12,Alabama,6,Florida,13
1927,1927-11-12,Albion (MI),6,Michigan St.,20
1927,1927-11-12,Arkansas,33,Oklahoma St.,20
1927,1927-11-12,Army (NY),18,Notre Dame (IN),0
1927,1927-11-12,Auburn (AL),6,Mississippi St.,7
1927,1927-11-12,Baylor (TX),0,Southern Methodist (TX),34
1927,1927-11-12,Bethune-Cookman (FL),6,Florida A&M,12
1927,1927-11-12,Boston (MA),13,Saint John's (NY),0
1927,1927-11-12,Brigham Young (UT),0,Utah,20
1927,1927-11-12,Brown (RI),6,Harvard (MA),18
1927,1927-11-12,California (PA),32,Clarion (PA),0
1927,1927-11-12,California,0,Washington,6
1927,1927-11-12,Charleston (WV),6,West Liberty St. (WV),13
1927,1927-11-12,Chicago (IL),6,Illinois,15
1927,1927-11-12,Cincinnati (OH),7,Ohio,7
1927,1927-11-12,Citadel (SC),6,Wofford (SC),6
1927,1927-11-12,Clemson (SC),0,Georgia,32
1927,1927-11-12,Colgate (NY),13,Syracuse (NY),13
1927,1927-11-12,Colorado School of Mines,6,Colorado St.,37
1927,1927-11-12,Colorado,7,Southern California,46
1927,1927-11-12,Columbia (NY),0,Pennsylvania,27
1927,1927-11-12,Cornell (NY),7,Dartmouth (NH),53
1927,1927-11-12,Davidson (NC),0,North Carolina,27
1927,1927-11-12,Dayton (OH),6,Miami (OH),7
1927,1927-11-12,Drake (IA),6,Minnesota,27
1927,1927-11-12,Duke (NC),18,North Carolina St.,20
1927,1927-11-12,East Stroudsburg (PA),30,Lock Haven (PA),0
1927,1927-11-12,Eastern Illinois,14,Southern Illinois,2
1927,1927-11-12,Eastern Kentucky,13,Louisville (KY),21
1927,1927-11-12,Eastern Michigan,6,Western Michigan,0
1927,1927-11-12,Eureka (IL),0,Monmouth (IL),26
1927,1927-11-12,Fairmont St. (WV),6,Marshall (WV),35
1927,1927-11-12,Furman (SC),33,South Carolina,0
1927,1927-11-12,Georgetown (DC),47,Boston College (MA),0
1927,1927-11-12,Georgia Tech,23,Louisiana St.,0
1927,1927-11-12,Hampton (VA),0,North Carolina A&T,13
1927,1927-11-12,Hanover (IN),6,Ball St. (IN),12
1927,1927-11-12,Holy Cross (MA),6,Marquette (WI),12
1927,1927-11-12,Indiana (PA),7,Kent St. (OH),0
1927,1927-11-12,Indiana,18,Northwestern (IL),7
1927,1927-11-12,Iowa,16,Wisconsin,0
1927,1927-11-12,Kansas,7,Oklahoma,26
1927,1927-11-12,Lehigh (PA),6,Rutgers (NJ),12
1927,1927-11-12,Maine,13,New Hampshire,6
1927,1927-11-12,Maryland,0,Virginia,21
1927,1927-11-12,Michigan Tech,6,Northern Michigan,2
1927,1927-11-12,Michigan,27,Navy (MD),12
1927,1927-11-12,Montana,0,Gonzaga (WA),0
1927,1927-11-12,Morehouse (GA),13,Tennessee St.,20
1927,1927-11-12,Nebraska,13,Pittsburgh (PA),21
1927,1927-11-12,New Mexico St.,7,Texas-El Paso,19
1927,1927-11-12,Oregon,7,Oregon St.,21
1927,1927-11-12,Penn St.,13,New York (NY),13
1927,1927-11-12,Princeton (NJ),6,Yale (CT),14
1927,1927-11-12,Rhode Island,12,Connecticut,0
1927,1927-11-12,Sewanee (TN),12,Tulane (LA),6
1927,1927-11-12,Stanford (CA),6,Santa Clara (CA),13
1927,1927-11-12,Susquehanna (PA),6,Lafayette (PA),71
1927,1927-11-12,Tennessee,7,Vanderbilt (TN),7
1927,1927-11-12,Tennessee-Chattanooga,52,Florida Southern,6
1927,1927-11-12,Virginia Military Institute,0,Kentucky,25
1927,1927-11-12,Wabash (IN),6,Butler (IN),13
1927,1927-11-12,West Virginia,15,Davis & Elkins (WV),12
1927,1927-11-17,Henderson St. (AR),19,Central Arkansas,0
1927,1927-11-18,Cal Poly-San Luis Obispo,0,San Jose St. (CA),12
1927,1927-11-18,Fresno St. (CA),6,Santa Clara (CA),6
1927,1927-11-18,McKendree (IL),0,Southern Illinois,6
1927,1927-11-18,Mississippi College,27,Louisiana-Lafayette,0
1927,1927-11-18,New Mexico,26,New Mexico St.,9
1927,1927-11-18,Pacific (CA),0,Saint Mary's (CA),20
1927,1927-11-18,Truman St. (MO),80,Southeast Missouri St.,0
1927,1927-11-19,Adrian (MI),20,Findlay (OH),6
1927,1927-11-19,Allegheny (PA),0,New York (NY),81
1927,1927-11-19,Alma (MI),13,Kalamazoo (MI),12
1927,1927-11-19,Arizona,16,UCLA,13
1927,1927-11-19,Ashland (OH),13,Duquesne (PA),12
1927,1927-11-19,Birmingham-Southern (AL),0,Samford (AL),9
1927,1927-11-19,Bluffton (OH),12,Bowling Green (OH),6
1927,1927-11-19,Boston College (MA),19,Connecticut,0
1927,1927-11-19,Bridgewater (VA),3,Shepherd (WV),7
1927,1927-11-19,Brown (RI),31,New Hampshire,13
1927,1927-11-19,Bucknell (PA),13,Temple (PA),19
1927,1927-11-19,Butler (IN),0,Michigan St.,25
1927,1927-11-19,California,6,Stanford (CA),13
1927,1927-11-19,Chicago (IL),12,Wisconsin,0
1927,1927-11-19,Citadel (SC),0,Furman (SC),6
1927,1927-11-19,Colorado School of Mines,19,Brigham Young (UT),38
1927,1927-11-19,Colorado,7,Colorado St.,39
1927,1927-11-19,Concord (WV),0,George Washington (DC),33
1927,1927-11-19,DePauw (IN),7,Wabash (IN),13
1927,1927-11-19,Drake (IA),0,Notre Dame (IN),32
1927,1927-11-19,Duke (NC),0,North Carolina,18
1927,1927-11-19,Fordham (NY),0,Georgetown (DC),38
1927,1927-11-19,Fort Hays St. (KS),7,Pittsburg St. (KS),13
1927,1927-11-19,Georgia Tech,19,Oglethorpe (GA),7
1927,1927-11-19,Hardin-Simmons (TX),34,Texas-El Paso,19
1927,1927-11-19,Harvard (MA),0,Yale (CT),14
1927,1927-11-19,Holy Cross (MA),19,Boston (MA),0
1927,1927-11-19,Howard (DC),26,Morgan St. (MD),6
1927,1927-11-19,Idaho,12,Oregon St.,7
1927,1927-11-19,Illinois,13,Ohio St.,0
1927,1927-11-19,Indiana St.,27,Northern Illinois,12
1927,1927-11-19,Indiana,6,Purdue (IN),21
1927,1927-11-19,Iowa,0,Northwestern (IL),12
1927,1927-11-19,Johnson C. Smith (NC),0,South Carolina St.,33
1927,1927-11-19,Kansas St.,0,Nebraska,33
1927,1927-11-19,Kansas,14,Missouri,7
1927,1927-11-19,Lafayette (PA),43,Lehigh (PA),0
1927,1927-11-19,Louisiana Tech,0,Centenary (LA),33
1927,1927-11-19,Louisville (KY),0,Davis & Elkins (WV),34
1927,1927-11-19,Maryland,20,Vanderbilt (TN),39
1927,1927-11-19,Mercer (GA),7,Georgia,26
1927,1927-11-19,Michigan,7,Minnesota,13
1927,1927-11-19,Montana,6,Montana St.,0
1927,1927-11-19,Morehouse (GA),0,Tuskegee (AL),14
1927,1927-11-19,Nevada,6,Gonzaga (WA),41
1927,1927-11-19,Oklahoma,7,Oklahoma St.,13
1927,1927-11-19,Rutgers (NJ),19,Swarthmore (PA),6
1927,1927-11-19,Southern California,27,Washington St.,0
1927,1927-11-19,Southern Methodist (TX),28,Texas Christian,6
1927,1927-11-19,Stetson (FL),36,Miami (FL),0
1927,1927-11-19,Wagner (NY),0,Brooklyn Centre City College (NY),6
1927,1927-11-19,West Liberty St. (WV),71,West Virginia Tech,0
1927,1927-11-24,Alabama,6,Georgia,20
1927,1927-11-24,Albion (MI),9,Western Michigan,19
1927,1927-11-24,Arizona St.,0,Texas-El Paso,0
1927,1927-11-24,Arkansas-Monticello,0,Southern Arkansas,7
1927,1927-11-24,Auburn (AL),0,Georgia Tech,18
1927,1927-11-24,Baylor (TX),12,Rice (TX),19
1927,1927-11-24,Carthage (WI),12,Western Illinois,12
1927,1927-11-24,Cincinnati (OH),14,Miami (OH),17
1927,1927-11-24,Citadel (SC),7,Presbyterian (SC),6
1927,1927-11-24,Colorado,0,Denver (CO),48
1927,1927-11-24,Columbia (NY),14,Syracuse (NY),7
1927,1927-11-24,Cornell (NY),0,Pennsylvania,35
1927,1927-11-24,Eastern Kentucky,0,Western Kentucky,12
1927,1927-11-24,Fresno St. (CA),6,Pacific (CA),0
1927,1927-11-24,Furman (SC),28,Clemson (SC),0
1927,1927-11-24,Hardin-Simmons (TX),3,Howard Payne (TX),0
1927,1927-11-24,Iowa St.,0,Marquette (WI),34
1927,1927-11-24,Johns Hopkins (MD),14,Maryland,13
1927,1927-11-24,Johnson C. Smith (NC),26,Livingstone (NC),27
1927,1927-11-24,Kansas St.,18,Oklahoma St.,25
1927,1927-11-24,Kentucky,0,Tennessee,20
1927,1927-11-24,Lenoir-Rhyne (NC),6,Elon (NC),7
1927,1927-11-24,Lincoln (PA),0,Howard (DC),20
1927,1927-11-24,Louisiana St.,6,Tulane (LA),13
1927,1927-11-24,Louisville (KY),2,Centenary (LA),59
1927,1927-11-24,Mercer (GA),34,Wake Forest (NC),0
1927,1927-11-24,Mississippi College,13,Florida Southern,0
1927,1927-11-24,Mississippi,20,Mississippi St.,12
1927,1927-11-24,Missouri,20,Oklahoma,7
1927,1927-11-24,Murray St. (KY),14,Memphis (TN),14
1927,1927-11-24,Nebraska,27,New York (NY),18
1927,1927-11-24,Newberry (SC),20,Wofford (SC),43
1927,1927-11-24,North Carolina St.,34,South Carolina,0
1927,1927-11-24,North Carolina,14,Virginia,13
1927,1927-11-24,Northeastern St. (OK),0,Pittsburg St. (KS),14
1927,1927-11-24,Northern Colorado,6,Wyoming,27
1927,1927-11-24,Northwestern St. (LA),6,Louisiana-Lafayette,6
1927,1927-11-24,Oregon,0,Washington,7
1927,1927-11-24,Penn St.,0,Pittsburgh (PA),30
1927,1927-11-24,Richmond (VA),0,William & Mary (VA),0
1927,1927-11-24,Samford (AL),52,Miami (FL),0
