# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Buffalo,1963,5,3,1,,,,history
Buffalo,1964,4,4,1,,,,history
Buffalo,1965,5,3,2,,,,history
Buffalo,1966,5,5,0,,,,history
Buffalo,1967,6,4,0,,,,history
Buffalo,1968,7,3,0,,,,history
Buffalo,1969,6,3,0,,,,history
Buffalo,1970,2,9,0,,,,history
Buffalo,1977,0,0,0,,,,history
Buffalo,1978,0,0,0,,,,history
Buffalo,1979,0,0,0,,,,history
Buffalo,1980,0,0,0,,,,history
Buffalo,1981,0,0,0,,,,history
Buffalo,1982,0,0,0,,,,history
Buffalo,1983,0,0,0,,,,history
Buffalo,1984,0,0,0,,,,history
Buffalo,1985,0,0,0,,,,history
Buffalo,1986,0,0,0,,,,history
Buffalo,1987,0,0,0,,,,history
Buffalo,1988,0,0,0,,,,history
Buffalo,1989,0,0,0,,,,history
Buffalo,1990,0,0,0,,,,history
Buffalo,1991,0,0,0,,,,history
Buffalo,1992,0,0,0,,,,history
Buffalo,1993,0,0,0,,,,history
Buffalo,1994,0,0,0,,,,history
Buffalo,1995,0,0,0,,,,history
Buffalo,1996,0,0,0,,,,history
Buffalo,1997,0,1,0,,,,history
Buffalo,1998,0,0,0,,,,history
Buffalo,1999,0,11,0,,,,history
Buffalo,2000,2,9,0,,,,history
Buffalo,2001,3,8,0,,,,history
Buffalo,2002,1,11,0,,,,history
Buffalo,2003,1,11,0,,,,history
Buffalo,2004,2,9,0,,,,history
Buffalo,2005,1,10,0,,,,history
Buffalo,2006,2,10,0,,,,history
Buffalo,2007,5,7,0,,,,history
Buffalo,2008,8,6,0,,,,history
Buffalo,2009,5,7,0,,,,history
Buffalo,2010,2,10,0,,,,history
Buffalo,2011,3,9,0,,,,history
Buffalo,2012,4,8,0,,,,history
Buffalo,2013,8,5,0,,,,history
Buffalo,2014,5,6,0,,,,history
Buffalo,2015,5,7,0,,,,history
Buffalo,2016,2,10,0,,,,history
Buffalo,2017,6,6,0,,,,history
Buffalo,2018,10,4,0,,,,history
Buffalo,2019,8,5,0,,,,history
Buffalo,2020,6,1,0,,,,history
Buffalo,2021,4,8,0,,,,history
Buffalo,2022,7,6,0,,,,history
Buffalo,2023,3,9,0,,,,history
Buffalo,2024,9,4,0,,,,history
Buffalo,2025,5,7,0,,,,history
BYU,1922,1,5,0,,,,history
BYU,1923,2,5,0,,,,history
BYU,1924,2,3,1,,,,history
BYU,1925,3,3,0,,,,history
BYU,1926,1,5,1,,,,history
BYU,1927,2,4,1,,,,history
BYU,1928,3,3,1,,,,history
BYU,1929,5,3,0,,,,history
BYU,1930,5,2,4,,,,history
BYU,1931,4,4,0,,,,history
BYU,1932,8,1,0,,,,history
BYU,1933,5,4,0,,,,history
BYU,1934,4,5,0,,,,history
BYU,1935,4,4,0,,,,history
BYU,1936,4,5,0,,,,history
BYU,1937,6,3,0,,,,history
BYU,1938,4,3,1,,,,history
BYU,1939,5,2,2,,,,history
BYU,1940,2,4,2,,,,history
BYU,1941,4,3,2,,,,history
BYU,1942,2,5,0,,,,history
BYU,1946,5,4,1,,,,history
BYU,1947,3,7,0,,,,history
BYU,1948,5,6,0,,,,history
BYU,1949,0,11,0,,,,history
BYU,1950,4,5,1,,,,history
BYU,1951,6,3,1,,,,history
BYU,1952,4,6,0,,,,history
BYU,1953,2,7,1,,,,history
BYU,1954,1,8,0,,,,history
BYU,1955,1,9,0,,,,history
BYU,1956,2,7,1,,,,history
BYU,1957,5,3,2,,,,history
BYU,1958,6,4,0,,,,history
BYU,1959,3,7,0,,,,history
BYU,1960,3,8,0,,,,history
BYU,1961,2,8,0,,,,history
BYU,1962,4,6,0,,,,history
BYU,1963,2,8,0,,,,history
BYU,1964,3,6,1,,,,history
BYU,1965,6,4,0,,,,history
BYU,1966,8,2,0,,,,history
BYU,1967,6,4,0,,,,history
BYU,1968,2,8,0,,,,history
BYU,1969,6,4,0,,,,history
BYU,1970,3,8,0,,,,history
BYU,1971,5,6,0,,,,history
BYU,1972,7,4,0,,,,history
BYU,1973,5,6,0,,,,history
BYU,1974,7,4,1,,,,history
BYU,1975,6,5,0,,,,history
BYU,1976,9,3,0,,,,history
BYU,1977,9,2,0,,,,history
BYU,1978,9,4,0,,,,history
BYU,1979,11,1,0,,,,history
BYU,1980,12,1,0,,,,history
BYU,1981,11,2,0,,,,history
BYU,1982,8,4,0,,,,history
BYU,1983,11,1,0,,,,history
BYU,1984,13,0,0,,,,history
BYU,1985,11,3,0,,,,history
BYU,1986,8,5,0,,,,history
BYU,1987,9,4,0,,,,history
BYU,1988,9,4,0,,,,history
BYU,1989,10,3,0,,,,history
BYU,1990,10,3,0,,,,history
BYU,1991,8,3,2,,,,history
BYU,1992,8,5,0,,,,history
BYU,1993,6,6,0,,,,history
BYU,1994,10,3,0,,,,history
BYU,1995,7,4,0,,,,history
BYU,1996,14,1,0,,,,history
BYU,1997,6,5,0,,,,history
BYU,1998,9,5,0,,,,history
BYU,1999,8,4,0,,,,history
BYU,2000,6,6,0,,,,history
BYU,2001,12,2,0,,,,history
BYU,2002,5,7,0,,,,history
BYU,2003,4,8,0,,,,history
BYU,2004,5,6,0,,,,history
BYU,2005,6,6,0,,,,history
BYU,2006,11,2,0,,,,history
BYU,2007,11,2,0,,,,history
BYU,2008,10,3,0,,,,history
BYU,2009,11,2,0,,,,history
BYU,2010,7,6,0,,,,history
BYU,2011,10,3,0,,,,history
BYU,2012,8,5,0,,,,history
BYU,2013,8,5,0,,,,history
BYU,2014,8,5,0,,,,history
BYU,2015,9,4,0,,,,history
BYU,2016,9,4,0,,,,history
BYU,2017,4,9,0,,,,history
BYU,2018,7,6,0,,,,history
BYU,2019,7,6,0,,,,history
BYU,2020,11,1,0,,,,history
BYU,2021,10,3,0,,,,history
BYU,2022,8,5,0,,,,history
BYU,2023,5,7,0,,,,history
BYU,2024,11,2,0,,,,history
BYU,2025,12,2,0,,,,history
California,1899,0,1,0,,,,history
California,1916,6,4,1,,,,history
California,1917,5,5,1,,,,history
California,1918,6,2,0,,,,history
California,1919,6,2,1,,,,history
California,1920,9,0,0,,,,history
California,1921,9,0,1,,,,history
California,1922,9,0,0,,,,history
California,1923,9,0,1,,,,history
California,1924,8,0,2,,,,history
California,1925,6,3,0,,,,history
California,1926,3,6,0,,,,history
California,1927,7,3,0,,,,history
California,1928,6,2,2,,,,history
California,1929,7,1,1,,,,history
California,1930,4,5,0,,,,history
California,1931,8,2,0,,,,history
California,1932,7,3,2,,,,history
California,1933,6,3,2,,,,history
California,1934,6,6,0,,,,history
California,1935,9,1,0,,,,history
California,1936,6,5,0,,,,history
California,1937,10,0,1,,,,history
California,1938,10,1,0,,,,history
California,1939,3,7,0,,,,history
California,1940,4,6,0,,,,history
California,1941,4,5,0,,,,history
California,1942,5,5,0,,,,history
California,1943,4,6,0,,,,history
California,1944,3,6,1,,,,history
California,1945,4,5,1,,,,history
California,1946,2,7,0,,,,history
California,1947,9,1,0,,,,history
California,1948,10,1,0,,,,history
California,1949,10,1,0,,,,history
California,1950,9,1,1,,,,history
California,1951,8,2,0,,,,history
California,1952,7,3,0,,,,history
California,1953,4,4,2,,,,history
California,1954,5,5,0,,,,history
California,1955,2,7,1,,,,history
California,1956,3,7,0,,,,history
California,1957,1,9,0,,,,history
California,1958,7,4,0,,,,history
California,1959,2,8,0,,,,history
California,1960,2,7,1,,,,history
California,1961,1,8,1,,,,history
California,1962,1,9,0,,,,history
California,1963,4,5,1,,,,history
California,1964,3,7,0,,,,history
California,1965,5,5,0,,,,history
California,1966,3,7,0,,,,history
California,1967,5,5,0,,,,history
California,1968,7,3,1,,,,history
California,1969,5,5,0,,,,history
California,1970,6,5,0,,,,history
California,1971,6,5,0,,,,history
California,1972,3,8,0,,,,history
California,1973,4,7,0,,,,history
California,1974,7,3,1,,,,history
California,1975,8,3,0,,,,history
California,1976,5,6,0,,,,history
California,1977,7,4,0,,,,history
California,1978,6,5,0,,,,history
California,1979,6,6,0,,,,history
California,1980,3,8,0,,,,history
California,1981,2,9,0,,,,history
California,1982,7,4,0,,,,history
California,1983,5,5,1,,,,history
California,1984,2,9,0,,,,history
California,1985,4,7,0,,,,history
California,1986,2,9,0,,,,history
California,1987,3,6,2,,,,history
California,1988,5,5,1,,,,history
California,1989,4,7,0,,,,history
California,1990,7,4,1,,,,history
California,1991,10,2,0,,,,history
California,1992,4,7,0,,,,history
California,1993,9,4,0,,,,history
California,1994,4,7,0,,,,history
California,1995,3,8,0,,,,history
California,1996,6,6,0,,,,history
California,1997,3,8,0,,,,history
California,1998,5,6,0,,,,history
California,1999,4,7,0,4,0,Holmoe,history
California,2000,3,8,0,,,,history
California,2001,1,10,0,,,,history
California,2002,7,5,0,,,,history
California,2003,8,6,0,,,,history
California,2004,10,2,0,,,,history
California,2005,8,4,0,,,,history
California,2006,10,3,0,,,,history
California,2007,7,6,0,,,,history
California,2008,9,4,0,,,,history
California,2009,8,5,0,,,,history
California,2010,5,7,0,,,,history
California,2011,7,6,0,,,,history
California,2012,3,9,0,,,,history
California,2013,1,11,0,,,,history
California,2014,5,7,0,,,,history
California,2015,8,5,0,,,,history
California,2016,5,7,0,,,,history
California,2017,5,7,0,,,,history
California,2018,7,6,0,,,,history
California,2019,8,5,0,,,,history
California,2020,1,3,0,,,,history
California,2021,5,7,0,,,,history
California,2022,4,8,0,,,,history
California,2023,6,7,0,,,,history
California,2024,6,7,0,,,,history
California,2025,7,6,0,,,,history
Central Michigan,1931,0,1,0,,,,history
Central Michigan,1934,0,1,0,,,,history
Central Michigan,1935,0,1,0,,,,history
Central Michigan,1936,0,0,0,,,,history
Central Michigan,1937,0,0,0,,,,history
Central Michigan,1938,0,0,0,,,,history
Central Michigan,1939,0,1,0,,,,history
Central Michigan,1940,0,0,0,,,,history
Central Michigan,1941,0,1,0,,,,history
Central Michigan,1942,0,0,0,,,,history
Central Michigan,1943,0,0,0,,,,history
Central Michigan,1944,0,0,0,,,,history
Central Michigan,1945,0,0,0,,,,history
Central Michigan,1946,0,0,0,,,,history
Central Michigan,1947,0,1,0,,,,history
Central Michigan,1948,0,0,0,,,,history
Central Michigan,1949,0,0,0,,,,history
Central Michigan,1950,0,0,0,,,,history
Central Michigan,1951,0,0,0,,,,history
Central Michigan,1952,0,0,0,,,,history
Central Michigan,1953,0,0,0,,,,history
Central Michigan,1954,0,0,0,,,,history
Central Michigan,1955,0,0,0,,,,history
Central Michigan,1956,0,0,0,,,,history
Central Michigan,1957,0,0,0,,,,history
Central Michigan,1958,0,0,0,,,,history
Central Michigan,1959,0,0,0,,,,history
Central Michigan,1960,0,0,0,,,,history
Central Michigan,1961,0,0,0,,,,history
Central Michigan,1962,0,1,0,,,,history
Central Michigan,1963,1,0,0,,,,history
Central Michigan,1964,1,0,0,,,,history
Central Michigan,1965,0,1,0,,,,history
Central Michigan,1966,0,1,0,,,,history
Central Michigan,1967,0,0,0,,,,history
Central Michigan,1968,0,0,0,,,,history
Central Michigan,1969,0,1,0,,,,history
Central Michigan,1970,0,1,0,,,,history
Central Michigan,1971,0,0,0,,,,history
Central Michigan,1972,0,1,0,,,,history
Central Michigan,1973,1,3,0,,,,history
Central Michigan,1974,3,1,0,,,,history
Central Michigan,1975,8,2,1,,,,history
Central Michigan,1976,7,4,0,,,,history
Central Michigan,1977,10,1,0,,,,history
Central Michigan,1978,9,2,0,,,,history
Central Michigan,1979,10,0,1,,,,history
Central Michigan,1980,9,2,0,,,,history
Central Michigan,1981,7,4,0,,,,history
Central Michigan,1982,6,4,1,,,,history
Central Michigan,1983,8,3,0,,,,history
Central Michigan,1984,8,2,1,,,,history
Central Michigan,1985,7,3,0,,,,history
Central Michigan,1986,5,5,0,,,,history
Central Michigan,1987,5,5,1,,,,history
Central Michigan,1988,7,4,0,,,,history
Central Michigan,1989,5,5,1,,,,history
Central Michigan,1990,8,3,1,,,,history
Central Michigan,1991,6,1,4,,,,history
Central Michigan,1992,5,6,0,,,,history
Central Michigan,1993,5,6,0,,,,history
Central Michigan,1994,9,3,0,,,,history
Central Michigan,1995,4,7,0,,,,history
Central Michigan,1996,5,6,0,,,,history
Central Michigan,1997,2,9,0,,,,history
Central Michigan,1998,6,5,0,,,,history
Central Michigan,1999,4,7,0,,,,history
Central Michigan,2000,2,9,0,,,,history
Central Michigan,2001,3,8,0,,,,history
Central Michigan,2002,4,8,0,,,,history
Central Michigan,2003,3,9,0,,,,history
Central Michigan,2004,4,7,0,,,,history
Central Michigan,2005,6,5,0,,,,history
Central Michigan,2006,10,4,0,,,,history
Central Michigan,2007,8,6,0,,,,history
Central Michigan,2008,8,5,0,,,,history
Central Michigan,2009,12,2,0,,,,history
Central Michigan,2010,3,9,0,,,,history
Central Michigan,2011,3,9,0,,,,history
Central Michigan,2012,7,6,0,,,,history
Central Michigan,2013,6,6,0,,,,history
Central Michigan,2014,7,6,0,,,,history
Central Michigan,2015,7,6,0,,,,history
Central Michigan,2016,6,7,0,,,,history
Central Michigan,2017,8,5,0,,,,history
Central Michigan,2018,1,11,0,,,,history
Central Michigan,2019,8,6,0,,,,history
Central Michigan,2020,3,3,0,,,,history
Central Michigan,2021,9,4,0,,,,history
Central Michigan,2022,4,8,0,,,,history
Central Michigan,2023,5,7,0,,,,history
Central Michigan,2024,4,8,0,,,,history
Central Michigan,2025,7,6,0,,,,history
Charlotte,1946,0,0,0,,,,history
Charlotte,1947,0,0,0,,,,history
Charlotte,1948,0,0,0,,,,history
Charlotte,2013,5,6,0,,,,history
Charlotte,2014,5,6,0,,,,history
Charlotte,2015,2,10,0,,,,history
Charlotte,2016,4,8,0,,,,history
Charlotte,2017,1,11,0,,,,history
Charlotte,2018,5,7,0,,,,history
Charlotte,2019,7,6,0,,,,history
Charlotte,2020,2,4,0,,,,history
Charlotte,2021,5,7,0,,,,history
Charlotte,2022,3,9,0,,,,history
Charlotte,2023,3,9,0,,,,history
Charlotte,2024,5,7,0,,,,history
Charlotte,2025,1,11,0,,,,history
Cincinnati,1893,0,1,0,,,,history
Cincinnati,1896,0,1,0,,,,history
Cincinnati,1897,0,1,0,,,,history
Cincinnati,1898,1,0,0,,,,history
Cincinnati,1899,0,1,0,,,,history
Cincinnati,1900,0,1,0,,,,history
Cincinnati,1903,0,2,0,,,,history
Cincinnati,1904,1,0,0,,,,history
Cincinnati,1905,0,2,0,,,,history
Cincinnati,1906,0,2,0,,,,history
Cincinnati,1908,0,1,0,,,,history
Cincinnati,1909,0,1,0,,,,history
Cincinnati,1915,0,1,0,,,,history
Cincinnati,1916,0,1,0,,,,history
Cincinnati,1919,1,2,0,,,,history
Cincinnati,1920,0,1,0,,,,history
Cincinnati,1921,0,2,0,,,,history
Cincinnati,1922,0,3,0,,,,history
Cincinnati,1923,0,1,0,,,,history
Cincinnati,1924,0,1,0,,,,history
Cincinnati,1930,0,1,0,,,,history
Cincinnati,1931,0,1,0,,,,history
Cincinnati,1932,1,0,0,,,,history
Cincinnati,1933,1,1,0,,,,history
Cincinnati,1934,0,2,0,,,,history
Cincinnati,1935,1,0,0,,,,history
Cincinnati,1936,0,3,0,,,,history
Cincinnati,1937,0,1,0,,,,history
Cincinnati,1938,0,0,0,,,,history
Cincinnati,1939,0,1,0,,,,history
Cincinnati,1940,1,1,1,,,,history
Cincinnati,1941,0,1,0,,,,history
Cincinnati,1942,0,2,0,,,,history
Cincinnati,1945,1,2,0,,,,history
Cincinnati,1946,3,2,0,,,,history
Cincinnati,1947,1,1,0,,,,history
Cincinnati,1948,0,4,1,,,,history
Cincinnati,1949,2,2,0,,,,history
Cincinnati,1950,3,3,0,,,,history
Cincinnati,1951,5,0,0,,,,history
Cincinnati,1952,2,1,1,,,,history
Cincinnati,1953,3,1,0,,,,history
Cincinnati,1954,8,2,0,,,,history
Cincinnati,1955,1,6,2,,,,history
Cincinnati,1956,4,5,0,,,,history
Cincinnati,1957,5,4,1,,,,history
Cincinnati,1958,6,2,2,,,,history
Cincinnati,1959,5,4,1,,,,history
Cincinnati,1960,4,6,0,,,,history
Cincinnati,1961,3,7,0,,,,history
Cincinnati,1962,2,8,0,,,,history
Cincinnati,1963,6,4,0,,,,history
Cincinnati,1964,8,2,0,,,,history
Cincinnati,1965,5,5,0,,,,history
Cincinnati,1966,3,7,0,,,,history
Cincinnati,1967,3,6,0,,,,history
Cincinnati,1968,5,4,1,,,,history
Cincinnati,1969,4,6,0,,,,history
Cincinnati,1970,7,4,0,,,,history
Cincinnati,1971,7,4,0,,,,history
Cincinnati,1972,2,9,0,,,,history
Cincinnati,1973,4,7,0,,,,history
Cincinnati,1974,7,4,0,,,,history
Cincinnati,1975,6,5,0,,,,history
Cincinnati,1976,8,3,0,,,,history
Cincinnati,1977,5,4,2,,,,history
Cincinnati,1978,5,6,0,,,,history
Cincinnati,1979,2,9,0,,,,history
Cincinnati,1980,2,9,0,,,,history
Cincinnati,1981,6,5,0,,,,history
Cincinnati,1982,6,5,0,,,,history
Cincinnati,1983,4,6,1,,,,history
Cincinnati,1984,2,9,0,,,,history
Cincinnati,1985,5,6,0,,,,history
Cincinnati,1986,5,6,0,,,,history
Cincinnati,1987,4,7,0,,,,history
Cincinnati,1988,3,8,0,,,,history
Cincinnati,1989,1,9,1,,,,history
Cincinnati,1990,1,10,0,,,,history
Cincinnati,1991,4,7,0,,,,history
Cincinnati,1992,3,8,0,,,,history
Cincinnati,1993,8,3,0,,,,history
Cincinnati,1994,2,8,1,,,,history
Cincinnati,1995,6,5,0,,,,history
Cincinnati,1996,6,5,0,,,,history
Cincinnati,1997,8,4,0,,,,history
Cincinnati,1998,2,9,0,,,,history
Cincinnati,1999,3,8,0,,,,history
Cincinnati,2000,7,5,0,,,,history
Cincinnati,2001,7,5,0,,,,history
Cincinnati,2002,7,7,0,,,,history
Cincinnati,2003,5,7,0,,,,history
Cincinnati,2004,7,5,0,,,,history
Cincinnati,2005,4,7,0,,,,history
Cincinnati,2006,8,5,0,,,,history
Cincinnati,2007,10,3,0,,,,history
Cincinnati,2008,11,3,0,,,,history
Cincinnati,2009,12,1,0,,,,history
Cincinnati,2010,4,8,0,,,,history
Cincinnati,2011,10,3,0,,,,history
Cincinnati,2012,10,3,0,,,,history
Cincinnati,2013,9,4,0,,,,history
Cincinnati,2014,9,4,0,,,,history
Cincinnati,2015,7,6,0,,,,history
Cincinnati,2016,4,8,0,,,,history
Cincinnati,2017,4,8,0,,,,history
Cincinnati,2018,11,2,0,,,,history
Cincinnati,2019,11,3,0,,,,history
Cincinnati,2020,9,1,0,,,,history
Cincinnati,2021,13,1,0,,,,history
Cincinnati,2022,9,4,0,,,,history
Cincinnati,2023,3,9,0,,,,history
Cincinnati,2024,5,7,0,,,,history
Cincinnati,2025,7,6,0,,,,history
Clemson,1935,160,135,23,,,,ncaa
Clemson,1936,5,5,0,,,,history
Clemson,1937,4,4,1,,,,history
Clemson,1938,7,1,1,,,,history
Clemson,1939,9,1,0,,,,history
Clemson,1940,6,2,1,,,,history
Clemson,1941,7,2,0,,,,history
Clemson,1942,3,6,1,,,,history
Clemson,1943,2,6,0,,,,history
Clemson,1944,4,5,0,,,,history
Clemson,1945,6,3,1,,,,history
Clemson,1946,4,5,0,,,,history
Clemson,1947,4,5,0,,,,history
Clemson,1948,11,0,0,,,,history
Clemson,1949,4,4,2,,,,history
Clemson,1950,9,0,1,,,,history
Clemson,1951,7,3,0,,,,history
Clemson,1952,2,6,1,,,,history
Clemson,1953,3,5,1,,,,history
Clemson,1954,5,5,0,,,,history
Clemson,1955,7,3,0,,,,history
Clemson,1956,7,2,2,,,,history
Clemson,1957,7,3,0,,,,history
Clemson,1958,8,3,0,,,,history
Clemson,1959,9,2,0,,,,history
Clemson,1960,6,4,0,,,,history
Clemson,1961,5,5,0,,,,history
Clemson,1962,6,4,0,,,,history
Clemson,1963,5,4,1,,,,history
Clemson,1964,3,7,0,,,,history
Clemson,1965,5,5,0,,,,history
Clemson,1966,6,4,0,,,,history
Clemson,1967,6,4,0,,,,history
Clemson,1968,4,5,1,,,,history
Clemson,1969,4,6,0,,,,history
Clemson,1970,3,8,0,,,,history
Clemson,1971,5,6,0,,,,history
Clemson,1972,4,7,0,,,,history
Clemson,1973,5,6,0,,,,history
Clemson,1974,7,4,0,,,,history
Clemson,1975,2,9,0,,,,history
Clemson,1976,3,6,2,,,,history
Clemson,1977,8,3,1,,,,history
Clemson,1978,11,1,0,,,,history
Clemson,1979,8,4,0,,,,history
Clemson,1980,6,5,0,,,,history
Clemson,1981,12,0,0,,,,history
Clemson,1982,9,1,1,,,,history
Clemson,1983,9,1,1,,,,history
Clemson,1984,7,4,0,,,,history
Clemson,1985,6,6,0,,,,history
Clemson,1986,8,2,2,,,,history
Clemson,1987,10,2,0,,,,history
Clemson,1988,10,2,0,,,,history
Clemson,1989,10,2,0,,,,history
Clemson,1990,10,2,0,,,,history
Clemson,1991,9,2,1,,,,history
Clemson,1992,5,6,0,,,,history
Clemson,1993,9,3,0,,,,history
Clemson,1994,5,6,0,,,,history
Clemson,1995,8,4,0,,,,history
Clemson,1996,7,5,0,,,,history
Clemson,1997,7,5,0,,,,history
Clemson,1998,3,8,0,,,,history
Clemson,1999,6,6,0,,,,history
Clemson,2000,9,3,0,,,,history
Clemson,2001,7,5,0,,,,history
Clemson,2002,7,6,0,,,,history
Clemson,2003,9,4,0,,,,history
Clemson,2004,6,5,0,,,,history
Clemson,2005,8,4,0,,,,history
Clemson,2006,8,5,0,,,,history
Clemson,2007,9,4,0,,,,history
Clemson,2008,7,6,0,,,,history
Clemson,2009,9,5,0,,,,history
Clemson,2010,6,7,0,,,,history
Clemson,2011,10,4,0,,,,history
Clemson,2012,11,2,0,,,,history
Clemson,2013,11,2,0,,,,history
Clemson,2014,10,3,0,,,,history
Clemson,2015,14,1,0,,,,history
Clemson,2016,14,1,0,,,,history
Clemson,2017,12,2,0,,,,history
Clemson,2018,15,0,0,,,,history
Clemson,2019,14,1,0,,,,history
Clemson,2020,10,2,0,,,,history
Clemson,2021,10,3,0,,,,history
Clemson,2022,11,3,0,,,,history
Clemson,2023,9,4,0,,,,history
Clemson,2024,10,4,0,,,,history
Clemson,2025,7,6,0,,,,history
Coastal Carolina,2003,6,5,0,,,,history
Coastal Carolina,2004,10,1,0,,,,history
Coastal Carolina,2005,9,2,0,,,,history
Coastal Carolina,2006,9,3,0,,,,history
Coastal Carolina,2007,5,6,0,,,,history
Coastal Carolina,2008,6,6,0,,,,history
Coastal Carolina,2009,4,6,0,,,,history
Coastal Carolina,2010,6,6,0,,,,history
Coastal Carolina,2011,7,3,0,,,,history
Coastal Carolina,2012,3,4,0,,,,history
Coastal Carolina,2013,11,2,0,,,,history
Coastal Carolina,2014,12,2,0,,,,history
Coastal Carolina,2015,9,3,0,,,,history
Coastal Carolina,2016,10,2,0,,,,history
Coastal Carolina,2017,3,9,0,,,,history
Coastal Carolina,2018,5,7,0,,,,history
Coastal Carolina,2019,5,7,0,,,,history
Coastal Carolina,2020,11,1,0,,,,history
Coastal Carolina,2021,11,2,0,,,,history
Coastal Carolina,2022,9,4,0,,,,history
Coastal Carolina,2023,8,5,0,,,,history
Coastal Carolina,2024,6,7,0,,,,history
Coastal Carolina,2025,6,7,0,,,,history
Colorado,1902,5,1,0,,,,history
Colorado,1903,8,2,0,,,,history
Colorado,1904,6,2,1,,,,history
Colorado,1905,8,1,0,,,,history
Colorado,1906,2,3,4,,,,history
Colorado,1907,5,3,0,,,,history
Colorado,1908,5,2,0,,,,history
Colorado,1909,6,0,0,,,,history
Colorado,1910,6,0,0,,,,history
Colorado,1911,6,0,0,,,,history
Colorado,1912,6,3,0,,,,history
Colorado,1913,5,1,1,,,,history
Colorado,1914,5,1,0,,,,history
Colorado,1915,1,6,0,,,,history
Colorado,1916,1,5,1,,,,history
Colorado,1917,6,2,0,,,,history
Colorado,1918,2,3,0,,,,history
Colorado,1919,2,3,1,,,,history
Colorado,1920,4,1,2,,,,history
Colorado,1921,4,1,1,,,,history
Colorado,1922,4,4,0,,,,history
Colorado,1923,9,0,0,,,,history
Colorado,1924,8,1,1,,,,history
Colorado,1925,6,3,0,,,,history
Colorado,1926,3,5,1,,,,history
Colorado,1927,4,5,0,,,,history
Colorado,1928,5,1,0,,,,history
Colorado,1929,5,1,1,,,,history
Colorado,1930,6,1,1,,,,history
Colorado,1931,5,3,0,,,,history
Colorado,1932,2,4,0,,,,history
Colorado,1933,7,2,0,,,,history
Colorado,1934,6,1,2,,,,history
Colorado,1935,5,4,0,,,,history
Colorado,1936,4,3,0,,,,history
Colorado,1937,8,1,0,,,,history
Colorado,1938,3,4,1,,,,history
Colorado,1939,5,3,0,,,,history
Colorado,1940,5,3,1,,,,history
Colorado,1941,3,4,1,,,,history
Colorado,1942,7,2,0,,,,history
Colorado,1943,5,2,0,,,,history
Colorado,1944,6,2,0,,,,history
Colorado,1945,5,3,0,,,,history
Colorado,1946,5,4,1,,,,history
Colorado,1947,4,5,0,,,,history
Colorado,1948,3,6,0,,,,history
Colorado,1949,3,7,0,,,,history
Colorado,1950,5,4,1,,,,history
Colorado,1951,7,3,0,,,,history
Colorado,1952,6,2,2,,,,history
Colorado,1953,6,4,0,,,,history
Colorado,1954,7,2,1,,,,history
Colorado,1955,6,4,0,,,,history
Colorado,1956,8,2,1,,,,history
Colorado,1957,6,3,1,,,,history
Colorado,1958,6,4,0,,,,history
Colorado,1959,5,5,0,,,,history
Colorado,1960,6,4,0,,,,history
Colorado,1961,9,2,0,,,,history
Colorado,1962,2,8,0,,,,history
Colorado,1963,2,8,0,,,,history
Colorado,1964,2,8,0,,,,history
Colorado,1965,6,2,2,,,,history
Colorado,1966,7,3,0,,,,history
Colorado,1967,9,2,0,,,,history
Colorado,1968,4,6,0,,,,history
Colorado,1969,8,3,0,,,,history
Colorado,1970,6,5,0,,,,history
Colorado,1971,10,2,0,,,,history
Colorado,1972,8,4,0,,,,history
Colorado,1973,5,6,0,,,,history
Colorado,1974,5,6,0,,,,history
Colorado,1975,9,3,0,,,,history
Colorado,1976,8,4,0,,,,history
Colorado,1977,7,3,1,,,,history
Colorado,1978,6,5,0,,,,history
Colorado,1979,3,8,0,,,,history
Colorado,1980,1,10,0,,,,history
Colorado,1981,3,8,0,,,,history
Colorado,1982,2,8,1,,,,history
Colorado,1983,4,7,0,,,,history
Colorado,1984,1,10,0,,,,history
Colorado,1985,7,5,0,,,,history
Colorado,1986,6,6,0,,,,history
Colorado,1987,7,4,0,,,,history
Colorado,1988,8,4,0,,,,history
Colorado,1989,11,1,0,,,,history
