school,season,wins,losses,ties,source
Air Force,2006,4,8,0,cfbd
Air Force,2007,9,4,0,cfbd
Air Force,2008,8,5,0,cfbd
Air Force,2009,8,5,0,cfbd
Air Force,2010,9,4,0,cfbd
Air Force,2011,7,6,0,cfbd
Air Force,2012,6,7,0,cfbd
Air Force,2013,2,10,0,cfbd
Air Force,2014,10,3,0,cfbd
Air Force,2015,8,6,0,cfbd
Air Force,2016,10,3,0,cfbd
Air Force,2017,5,7,0,cfbd
Air Force,2018,5,7,0,cfbd
Air Force,2019,11,2,0,cfbd
Air Force,2020,3,3,0,cfbd
Air Force,2021,10,3,0,cfbd
Air Force,2022,10,3,0,cfbd
Air Force,2023,9,4,0,cfbd
Air Force,2024,5,7,0,cfbd
Air Force,2025,4,8,0,cfbd
Air Force,2026,0,0,0,cfbd
Akron,1936,0,0,0,cfbd
Akron,1937,0,0,0,cfbd
Akron,1938,0,1,0,cfbd
Akron,1939,0,0,0,cfbd
Akron,1940,0,1,0,cfbd
Akron,1941,0,0,0,cfbd
Akron,1942,0,0,0,cfbd
Akron,1946,0,0,0,cfbd
Akron,1947,0,0,0,cfbd
Akron,1948,0,0,0,cfbd
Akron,1949,0,0,0,cfbd
Akron,1950,0,0,0,cfbd
Akron,1951,0,0,0,cfbd
Akron,1952,0,0,0,cfbd
Akron,1953,0,0,0,cfbd
Akron,1954,0,0,0,cfbd
Akron,1955,0,0,0,cfbd
Akron,1956,0,0,0,cfbd
Akron,1957,0,0,0,cfbd
Akron,1958,0,0,0,cfbd
Akron,1959,0,0,0,cfbd
Akron,1960,0,0,0,cfbd
Akron,1961,0,0,0,cfbd
Akron,1962,0,0,0,cfbd
Akron,1963,0,0,0,cfbd
Akron,1964,0,0,0,cfbd
Akron,1965,0,0,0,cfbd
Akron,1966,0,1,0,cfbd
Akron,1967,1,1,0,cfbd
Akron,1968,0,1,0,cfbd
Akron,1969,1,0,0,cfbd
Akron,1970,0,1,0,cfbd
Akron,1971,1,0,0,cfbd
Akron,1972,0,0,1,cfbd
Akron,1973,0,3,0,cfbd
Akron,1974,0,3,0,cfbd
Akron,1975,7,4,0,cfbd
Akron,1976,4,2,0,cfbd
Akron,1977,2,2,0,cfbd
Akron,1978,0,2,0,cfbd
Akron,1979,2,2,0,cfbd
Akron,1980,1,2,0,cfbd
Akron,1981,1,1,0,cfbd
Akron,1982,1,0,0,cfbd
Akron,1983,2,0,0,cfbd
Akron,1984,0,2,0,cfbd
Akron,1985,2,1,0,cfbd
Akron,1986,1,1,0,cfbd
Akron,1987,4,7,0,cfbd
Akron,1988,5,6,0,cfbd
Akron,1989,6,4,1,cfbd
Akron,1990,3,7,1,cfbd
Akron,1991,5,6,0,cfbd
Akron,1992,7,3,1,cfbd
Akron,1993,5,6,0,cfbd
Akron,1994,1,10,0,cfbd
Akron,1995,2,9,0,cfbd
Akron,1996,4,7,0,cfbd
Akron,1997,2,9,0,cfbd
Akron,1998,4,7,0,cfbd
Akron,1999,7,4,0,cfbd
Akron,2000,6,5,0,cfbd
Akron,2001,4,7,0,cfbd
Akron,2002,4,8,0,cfbd
Akron,2003,7,5,0,cfbd
Akron,2004,6,5,0,cfbd
Akron,2005,7,6,0,cfbd
Akron,2006,5,7,0,cfbd
Akron,2007,4,8,0,cfbd
Akron,2008,5,7,0,cfbd
Akron,2009,3,9,0,cfbd
Akron,2010,1,11,0,cfbd
Akron,2011,1,11,0,cfbd
Akron,2012,1,11,0,cfbd
Akron,2013,5,7,0,cfbd
Akron,2014,5,7,0,cfbd
Akron,2015,8,5,0,cfbd
Akron,2016,5,7,0,cfbd
Akron,2017,7,7,0,cfbd
Akron,2018,4,8,0,cfbd
Akron,2019,0,12,0,cfbd
Akron,2020,1,5,0,cfbd
Akron,2021,2,10,0,cfbd
Akron,2022,2,10,0,cfbd
Akron,2023,2,10,0,cfbd
Akron,2024,4,8,0,cfbd
Akron,2025,5,7,0,cfbd
Akron,2026,0,0,0,cfbd
Alabama,1935,201,92,18,manual
