school,all_time_wins,win_pct,national_titles,conference_titles,consensus_aa,unanimous_aa,nfl_draft_picks,first_round_picks,weeks_ap_poll,weeks_ap_top10,weeks_ap_no1,heismans
UTSA,80,0.519,0,2,0,0,4,1,9,0,0,0
Vanderbilt,618,0.483,0,13,7,3,126,9,31,4,0,0
Virginia,684,0.517,0,2,11,3,167,16,174,21,3,0
Virginia Tech,770,0.602,0,11,8,4,162,14,311,95,0,0
Wake Forest,492,0.422,0,2,4,2,144,5,69,2,0,0
Washington,768,0.619,1,17,23,5,315,28,465,186,15,0
Washington State,575,0.498,0,4,8,2,197,14,161,33,0,0
West Virginia,779,0.595,0,15,12,4,198,12,306,89,0,0
Western Kentucky,610,0.586,0,12,0,0,39,0,2,0,0,0
Western Michigan,596,0.553,0,3,1,0,53,2,10,0,0,0
Wisconsin,740,0.586,0,14,32,12,297,30,414,173,1,2
Wyoming,561,0.484,0,14,4,0,87,4,56,11,0,0
